hour,open,high,low,close,volume
2018/07/11 14:00:00,433.71,433.96,427.12,431.51,7903.911770000002
2018/07/11 15:00:00,431.57,432.22,424.2,428.18,11557.010409999999
2018/07/11 16:00:00,428.11,438.93,427.59,435.71,8595.5709
2018/07/11 17:00:00,435.94,439.88,435.72,439.65,9953.7134
2018/07/11 18:00:00,439.88,440.7,435.67,437.23,9228.90299
2018/07/11 19:00:00,437.13,440.46,436.0,439.45,7056.01029
2018/07/11 20:00:00,439.46,452.69,439.41,443.98,10292.21522
2018/07/11 21:00:00,443.95,446.24,440.18,441.89,6361.2218
2018/07/11 22:00:00,441.94,445.19,441.48,443.6,5162.02028
2018/07/11 23:00:00,443.61,443.61,438.86,441.69,8822.883109999999
2018/07/12 00:00:00,441.71,442.03,439.11,439.64,7006.00933
2018/07/12 01:00:00,439.79,439.85,435.07,438.0,8041.0156400000005
2018/07/12 02:00:00,437.91,439.99,436.28,437.48,7016.21267
2018/07/12 03:00:00,437.52,438.0,436.0,437.35,4431.9015899999995
2018/07/12 04:00:00,436.85,437.03,432.16,436.17,4833.274570000001
2018/07/12 05:00:00,436.19,439.7,435.66,437.56,3173.93618
2018/07/12 06:00:00,437.62,440.29,436.98,439.26,4459.89669
2018/07/12 07:00:00,439.45,440.95,438.26,440.42,6140.01001
2018/07/12 08:00:00,440.42,445.42,440.24,444.99,7648.2130000000025
2018/07/12 09:00:00,444.99,445.36,441.22,442.39,7349.23624
2018/07/12 10:00:00,442.38,442.61,438.96,439.25,6024.56535
2018/07/12 11:00:00,439.01,440.69,437.2,438.01,7749.369740000001
2018/07/12 12:00:00,438.01,441.42,437.63,441.16,7801.726540000002
2018/07/12 13:00:00,441.19,441.57,438.49,438.93,8028.4854700000005
2018/07/12 14:00:00,439.18,439.98,437.0,439.28,6748.319
2018/07/12 15:00:00,439.43,439.54,431.2,434.15,13386.882959999999
2018/07/12 16:00:00,434.26,435.22,429.0,432.14,8361.68665
2018/07/12 17:00:00,432.01,434.09,430.32,433.81,6672.0585
2018/07/12 18:00:00,433.84,436.42,432.88,433.48,7990.226979999998
2018/07/12 19:00:00,433.37,433.78,429.23,430.02,9312.09338
2018/07/12 20:00:00,430.02,431.33,426.5,429.43,8579.6182
2018/07/12 21:00:00,429.51,433.0,428.42,431.03,8034.30855
2018/07/12 22:00:00,430.9,431.48,428.01,429.32,5964.8598299999985
2018/07/12 23:00:00,429.32,430.5,428.5,429.27,7487.2370900000005
2018/07/13 00:00:00,429.28,430.37,427.47,430.03,3268.96355
2018/07/13 01:00:00,430.23,434.53,429.36,433.6,6837.50225
2018/07/13 02:00:00,433.14,434.35,430.0,430.74,7035.10945
2018/07/13 03:00:00,430.79,430.9,428.5,429.71,5561.98084
2018/07/13 04:00:00,429.7,429.88,426.01,428.14,6698.7431799999995
2018/07/13 05:00:00,428.01,429.19,426.29,426.95,5644.16284
2018/07/13 06:00:00,427.06,427.48,423.34,425.64,4936.31416
2018/07/13 07:00:00,425.85,426.8,421.77,424.1,7441.16835
2018/07/13 08:00:00,423.97,431.76,416.94,431.14,14962.460140000001
2018/07/13 09:00:00,431.14,436.79,429.11,431.66,10661.84415
2018/07/13 10:00:00,432.11,434.72,431.66,433.1,3469.28875
2018/07/13 11:00:00,433.1,436.28,432.76,435.4,7866.61779
2018/07/13 12:00:00,435.49,438.56,435.39,438.2,10658.4064
2018/07/13 13:00:00,438.2,439.53,434.94,435.7,6282.5349799999985
2018/07/13 14:00:00,435.7,436.99,434.61,436.89,4160.57239
2018/07/13 15:00:00,436.73,437.38,433.66,434.65,4514.828070000001
2018/07/13 16:00:00,434.59,437.61,434.59,437.4,7019.3443099999995
2018/07/13 17:00:00,437.4,438.35,436.46,436.92,5015.5181299999995
2018/07/13 18:00:00,436.92,438.24,436.5,437.33,7040.90825
2018/07/13 19:00:00,437.22,438.01,436.74,437.09,3827.1934
2018/07/13 20:00:00,437.05,438.0,436.7,437.58,4047.8964
2018/07/13 21:00:00,437.57,442.47,437.44,440.8,7816.76414
2018/07/13 22:00:00,440.74,441.05,435.64,437.16,7233.62254
2018/07/13 23:00:00,437.29,439.39,436.01,437.07,7224.56437
2018/07/14 00:00:00,437.06,439.0,436.02,438.46,5308.4797899999985
2018/07/14 01:00:00,438.66,439.0,436.12,437.52,5144.09974
2018/07/14 02:00:00,437.69,438.28,436.11,437.01,4340.9171799999995
2018/07/14 03:00:00,437.05,441.82,434.0,434.71,6395.661
2018/07/14 04:00:00,435.03,435.88,428.49,429.39,8912.191929999999
2018/07/14 05:00:00,429.33,433.64,424.62,430.96,10022.97674
2018/07/14 06:00:00,430.68,433.07,430.01,431.9,6074.60706
2018/07/14 07:00:00,431.89,432.6,430.1,431.71,2627.65776
2018/07/14 08:00:00,431.72,434.07,429.72,432.46,4653.83005
2018/07/14 09:00:00,432.43,435.2,431.95,432.71,6792.244709999999
2018/07/14 10:00:00,432.7,436.78,432.51,434.01,5424.90045
2018/07/14 11:00:00,434.06,435.26,433.09,433.67,7461.8958900000025
2018/07/14 12:00:00,433.67,434.24,429.03,430.55,4987.54598
